Team,Win,Matches,WinPercent,MCGw,MCG,MCGwinp,Dockw,Dock,Dockwinp,Subiacow,Subiaco,Subiacowinp,AOw,AO,AOwinp,Gabw,Gab,Gabwinp,Carraraw,Carrara,Carrarawinp,Otherw,Other,Otherwinp
Adelaide,2127,3586,59.31%,176,400,44.00%,220,374,58.82%,88,176,50.00%,968,1364,70.97%,110,132,83.33%,110,110,100.00%,594,1166,50.94%
Brisbane Lions,968,3388,28.57%,44,242,18.18%,154,572,26.92%,0,154,0.00%,0,132,0.00%,572,1694,33.77%,88,154,57.14%,110,594,18.52%
Carlton,1078,3432,31.41%,440,1320,33.33%,418,1210,34.55%,66,198,33.33%,0,66,0.00%,44,154,28.57%,66,110,60.00%,110,572,19.23%
Collingwood,1914,3564,53.70%,1232,2288,53.85%,264,462,57.14%,22,132,16.67%,22,110,20.00%,110,110,100.00%,66,110,60.00%,220,484,45.45%
Essendon,1540,3432,44.87%,484,1144,42.31%,660,1430,46.15%,66,198,33.33%,44,110,40.00%,66,66,100.00%,66,110,60.00%,220,572,38.46%
Fremantle,1914,3586,53.37%,176,330,53.33%,242,418,57.89%,1100,1672,65.79%,22,154,14.29%,44,66,66.67%,66,88,75.00%,1364,2530,53.91%
Geelong,2398,3630,66.06%,484,946,51.16%,462,616,75.00%,66,176,37.50%,88,176,50.00%,88,110,80.00%,44,88,50.00%,1232,1694,72.73%
Gold Coast,902,3388,26.62%,66,264,25.00%,88,352,25.00%,22,176,12.50%,0,88,0.00%,44,176,25.00%,594,1584,37.50%,110,924,11.90%
Great Western Sydney,1452,3542,40.99%,44,330,13.33%,176,418,42.11%,44,176,25.00%,66,176,37.50%,88,132,66.67%,44,110,40.00%,1034,2376,43.52%
Hawthorn,2684,3762,71.35%,1320,1914,68.97%,396,506,78.26%,88,176,50.00%,88,154,57.14%,22,44,50.00%,22,44,50.00%,836,1100,76.00%
Melbourne,1188,3454,34.39%,704,1914,36.78%,154,440,35.00%,22,154,14.29%,88,154,57.14%,44,88,50.00%,22,44,50.00%,176,814,21.62%
North Melbourne,1870,3564,52.47%,176,308,57.14%,1034,1870,55.29%,44,220,20.00%,0,132,0.00%,88,132,66.67%,44,110,40.00%,528,1012,52.17%
Port Adelaide,1804,3520,51.25%,132,286,46.15%,154,396,38.89%,66,176,37.50%,792,1364,58.06%,44,66,66.67%,110,110,100.00%,572,1298,44.07%
Richmond,2134,3564,59.88%,1386,2156,64.29%,264,440,60.00%,110,176,62.50%,66,198,33.33%,88,88,100.00%,44,66,66.67%,286,616,46.43%
St Kilda,1188,3388,35.06%,176,396,44.44%,836,1936,43.18%,22,154,14.29%,0,198,0.00%,44,66,66.67%,66,132,50.00%,66,660,10.00%
Sydney,2596,3784,68.60%,286,506,56.52%,330,418,78.95%,88,198,44.44%,88,110,80.00%,88,88,100.00%,88,88,100.00%,1716,2574,66.67%
West Coast,2222,3630,61.21%,154,374,41.18%,242,462,52.38%,1144,1672,68.42%,154,198,77.78%,110,132,83.33%,22,66,33.33%,1540,2398,64.22%
Western Bulldogs,1584,3498,45.28%,198,330,60.00%,1034,2024,51.09%,22,176,12.50%,22,132,16.67%,22,88,25.00%,0,44,0.00%,308,880,35.00%